RefID,Author(s),Experiment Number,CONTROL,Pollutant Class,Pollutant,Response type,Coral age class,Current genus name,Current species name,Colony form,Other forms/morphologies,Coral surface direction,Ocean,Ecoregion number,Study location,Study site,Study type,Flow characteristics,Light characteristics,Other sample characteristics,Stressor description,Application level,Application level Unit of measurement (UoM),level converted to ug/L,exposure duration in days,recovery duration in days,exposure frequency,exposure notes,Response type,Standardized response level,Standardized SE,Standardized SD,Standardized UoM,Response level,Response UoM,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate (= response level - lower error bound),Upper error estimate (= upper error bound - response level),Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Data extractor initials,Date of completion,Additional notes on study,QAQC notes
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",13.89,ppm,13890,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",19.3,ppm,19300,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",26.83,ppm,26830,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",37.27,ppm,37270,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",51.79,ppm,51790,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",71.97,ppm,71970,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",100,ppm,100000,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,1,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",13.89,ppm,13890,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",19.3,ppm,19300,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",26.83,ppm,26830,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",37.27,ppm,37270,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",51.79,ppm,51790,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",71.97,ppm,71970,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,3,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",100,ppm,100000,0.021,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,1,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",13.89,ppm,13890,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",19.3,ppm,19300,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",26.83,ppm,26830,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",37.27,ppm,37270,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",51.79,ppm,51790,0.042,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",71.97,ppm,71970,0.042,0,constant,,colony survival,90,,n/r,% colonies survived,10,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,4,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",100,ppm,100000,0.042,0,constant,,colony survival,80,,n/r,% colonies survived,20,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,1,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,0.667,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",13.89,ppm,13890,0.667,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",19.3,ppm,19300,0.667,0,constant,,colony survival,60,,n/r,% colonies survived,40,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",26.83,ppm,26830,0.667,0,constant,,colony survival,50,,n/r,% colonies survived,50,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",37.27,ppm,37270,0.667,0,constant,,colony survival,10,,n/r,% colonies survived,90,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",51.79,ppm,51790,0.667,0,constant,,colony survival,0,,n/r,% colonies survived,100,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",71.97,ppm,71970,0.667,0,constant,,colony survival,0,,n/r,% colonies survived,100,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,5,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",100,ppm,100000,0.667,0,constant,,colony survival,0,,n/r,% colonies survived,100,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,16,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,6,1,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,0.083,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,2,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,6,0,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",13.89,ppm,13890,0.083,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,2,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
